                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95236,                 3.4461,                 1.4404,                0.00605,                      1,                0.39442,                0.29032,                0.57129,                 3.4217,                  1.245,             0.00016362,             0.00016362,             0.00016362
                      2,                0.74137,                 2.6463,                  1.281,                      1,                0.17093,                0.65035,                0.50259,                0.71024,                 2.7882,                  1.358,             0.00032523,             0.00032523,             0.00032523
                      3,                0.79458,                 1.9106,                 1.3133,                0.71301,                 0.5561,                0.78019,                0.57064,                0.96035,                 2.1619,                 1.6621,             0.00047544,             0.00047544,             0.00047544
                      4,                 0.7709,                 1.4364,                 1.2653,                0.85283,                0.74697,                0.93488,                0.71863,                0.94603,                 1.8898,                 1.6701,             0.00061426,             0.00061426,             0.00061426
                      5,                0.76724,                 1.3218,                 1.2652,                0.82321,                0.79137,                0.84164,                0.59219,                0.98196,                 1.7678,                 1.6155,             0.00074167,             0.00074167,             0.00074167
                      6,                0.79927,                 1.2653,                 1.2782,                0.79739,                0.89286,                0.92374,                0.70675,                0.92018,                 1.3486,                 1.6238,             0.00075902,             0.00075902,             0.00075902
                      7,                 0.7767,                 1.2373,                  1.271,                0.84321,                0.94841,                0.96439,                0.78353,                0.84449,                 1.1915,                 1.6565,             0.00075902,             0.00075902,             0.00075902
                      8,                0.75875,                 1.1806,                   1.25,                 0.8505,                0.99901,                0.97077,                0.82514,                0.69831,                 1.5938,                 1.3332,             0.00072902,             0.00072902,             0.00072902
                      9,                0.70673,                 1.0268,                 1.2014,                0.92883,                0.82143,                0.93786,                0.71898,                0.78147,                 1.1139,                 1.3834,             0.00069902,             0.00069902,             0.00069902
                     10,                0.73459,                 1.0315,                 1.2072,                0.90737,                0.91069,                0.96405,                0.77329,                0.73099,                 1.0341,                 1.3738,             0.00066902,             0.00066902,             0.00066902
                     11,                0.73697,                 1.0152,                 1.1959,                0.90473,                0.94798,                0.97077,                0.82892,                0.70054,                 1.0122,                 1.3279,             0.00063903,             0.00063903,             0.00063903
                     12,                0.72193,                0.98046,                 1.1833,                0.94394,                0.95301,                0.97714,                0.82088,                0.71134,                0.94231,                 1.3018,             0.00060903,             0.00060903,             0.00060903
                     13,                0.65461,                0.89214,                 1.1603,                0.91449,                0.95291,                 0.9831,                0.87464,                0.65442,                0.89486,                 1.2395,             0.00057903,             0.00057903,             0.00057903
                     14,                0.68431,                   0.89,                 1.1733,                0.91277,                0.95749,                0.97027,                0.84538,                0.67092,                0.91351,                  1.237,             0.00054904,             0.00054904,             0.00054904
                     15,                0.68143,                0.89243,                 1.1926,                0.94346,                0.96429,                 0.9415,                0.73449,                0.83991,                 1.0074,                 1.3838,             0.00051904,             0.00051904,             0.00051904
                     16,                0.65527,                0.83992,                 1.1465,                0.92341,                0.95761,                0.94174,                0.82866,                0.62986,                0.81637,                  1.225,             0.00048904,             0.00048904,             0.00048904
                     17,                0.62451,                0.81973,                 1.1516,                0.80493,                0.95224,                0.90862,                0.77841,                0.64079,                0.83305,                 1.2537,             0.00045904,             0.00045904,             0.00045904
                     18,                0.65474,                0.83208,                 1.1526,                0.82728,                0.98634,                0.95214,                0.82956,                0.64863,                0.86074,                 1.2589,             0.00042905,             0.00042905,             0.00042905
                     19,                0.64009,                 0.7723,                 1.1466,                0.85266,                0.98781,                0.97119,                0.84259,                 0.5947,                0.77688,                 1.2023,             0.00039905,             0.00039905,             0.00039905
                     20,                0.60029,                0.75043,                 1.1345,                0.96336,                0.95817,                0.98786,                0.87487,                0.61022,                0.73326,                  1.157,             0.00036905,             0.00036905,             0.00036905
                     21,                0.52627,                 1.0485,                 1.1668,                0.95883,                0.95336,                0.97227,                0.84017,                0.70866,                0.90875,                  1.283,             0.00033906,             0.00033906,             0.00033906
                     22,                0.45885,                0.92403,                 1.1048,                0.92856,                0.91954,                0.98071,                0.83761,                0.64447,                0.78041,                 1.2091,             0.00030906,             0.00030906,             0.00030906
                     23,                0.45434,                0.88666,                 1.1085,                0.96936,                0.96429,                0.97119,                0.88051,                0.52694,                0.73443,                 1.0915,             0.00027906,             0.00027906,             0.00027906
                     24,                0.45857,                0.86973,                 1.1242,                0.97095,                0.96429,                 0.9831,                0.88168,                 0.5567,                0.73797,                 1.1445,             0.00024907,             0.00024907,             0.00024907
                     25,                0.46476,                0.80314,                 1.0909,                0.96318,                0.96429,                0.97227,                0.87066,                0.52742,                0.69713,                 1.1232,             0.00021907,             0.00021907,             0.00021907
                     26,                0.44123,                0.76942,                 1.0772,                0.94858,                0.96429,                0.96277,                0.87352,                0.54126,                0.70815,                 1.1219,             0.00018907,             0.00018907,             0.00018907
                     27,                0.41718,                0.77014,                 1.0591,                0.94847,                0.96429,                0.95929,                0.86528,                0.51315,                0.67816,                 1.0864,             0.00015907,             0.00015907,             0.00015907
                     28,                0.40565,                0.72429,                  1.051,                0.94465,                0.96429,                 0.9575,                0.88416,                0.50967,                0.65806,                  1.064,             0.00012908,             0.00012908,             0.00012908
                     29,                0.40378,                0.72246,                 1.0439,                0.95319,                0.96429,                 0.9831,                0.91956,                0.49024,                0.63964,                  1.053,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     30,                0.38776,                0.69559,                 1.0017,                0.96425,                0.96429,                0.98786,                0.90901,                0.48329,                0.63766,                 1.0495,             6.9084e-05,             6.9084e-05,             6.9084e-05
