                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0021,                 2.9343,                 1.4956,                0.91389,                0.84849,                0.93451,                0.80358,                0.68458,                 2.9897,                 1.3261,             0.00016362,             0.00016362,             0.00016362
                      2,                0.76807,                 1.1219,                 1.2688,                0.59115,                0.77592,                0.77363,                0.57779,                 0.9245,                 2.9944,                 1.5244,             0.00032523,             0.00032523,             0.00032523
                      3,                0.86499,                 1.1179,                 1.3394,                0.65202,                0.77621,                0.82481,                0.44193,                 1.5377,                 3.8898,                 3.0684,             0.00047544,             0.00047544,             0.00047544
                      4,                0.84143,                0.88464,                 1.2987,                0.74342,                0.53571,                0.65908,                0.40066,                 1.2604,                 2.9116,                 2.0383,             0.00061426,             0.00061426,             0.00061426
                      5,                0.90269,                 0.9591,                  1.368,                0.62993,                   0.25,                0.29286,                0.15523,                 1.7557,                 4.4368,                 3.1964,             0.00074167,             0.00074167,             0.00074167
                      6,                0.94535,                0.99606,                 1.3754,                0.58203,                 0.7411,                0.70598,                0.50085,                 1.0237,                 5.4411,                 2.0069,             0.00075902,             0.00075902,             0.00075902
                      7,                 0.8882,                0.86536,                 1.3441,                0.77504,                  0.616,                0.73874,                0.45215,                 1.2888,                 2.5541,                 2.4464,             0.00075902,             0.00075902,             0.00075902
                      8,                0.89568,                0.86113,                 1.3405,                0.64975,                0.60274,                0.73447,                0.43037,                 1.5387,                 8.1423,                 2.3198,             0.00072902,             0.00072902,             0.00072902
                      9,                0.81944,                0.75366,                 1.2831,                0.68663,                 0.7823,                 0.8114,                0.54827,                 1.2052,                  1.378,                 2.0099,             0.00069902,             0.00069902,             0.00069902
                     10,                0.84945,                0.72751,                 1.2949,                0.73994,                0.75321,                0.83889,                0.64585,                0.92982,                 1.4399,                 1.6048,             0.00066902,             0.00066902,             0.00066902
                     11,                0.86021,                0.73204,                 1.2895,                0.71424,                0.86083,                0.81753,                0.65985,                0.79556,                 1.2322,                 1.4886,             0.00063903,             0.00063903,             0.00063903
                     12,                0.82816,                0.68235,                 1.2596,                0.78035,                0.99354,                0.95929,                0.79337,                0.71763,                 1.1866,                 1.3467,             0.00060903,             0.00060903,             0.00060903
                     13,                0.74249,                0.60222,                 1.2169,                0.95536,                0.99062,                  0.995,                0.82814,                0.72404,                0.68529,                 1.3745,             0.00057903,             0.00057903,             0.00057903
                     14,                 0.7841,                0.64141,                 1.2485,                 0.9672,                      1,                  0.995,                0.79336,                0.77647,                0.62224,                 1.4629,             0.00054904,             0.00054904,             0.00054904
                     15,                0.77266,                0.63892,                 1.2589,                0.89982,                      1,                0.98071,                0.83638,                0.65938,                0.46198,                 1.2747,             0.00051904,             0.00051904,             0.00051904
                     16,                0.72085,                0.58125,                  1.195,                0.86933,                0.96429,                 0.9552,                0.78565,                0.78168,                0.56012,                 1.3594,             0.00048904,             0.00048904,             0.00048904
                     17,                0.74778,                0.57091,                 1.2385,                0.86359,                0.88778,                0.90521,                0.76963,                0.73885,                0.64294,                  1.392,             0.00045904,             0.00045904,             0.00045904
                     18,                0.74701,                0.58971,                 1.2207,                0.92172,                0.90982,                 0.9569,                 0.8106,                0.66881,                0.50362,                 1.2779,             0.00042905,             0.00042905,             0.00042905
                     19,                0.70319,                0.55626,                  1.193,                0.92662,                0.98983,                  0.995,                0.85786,                0.66756,                0.42612,                 1.2383,             0.00039905,             0.00039905,             0.00039905
                     20,                0.68427,                0.52445,                 1.1945,                0.97086,                0.98368,                  0.995,                0.83355,                0.69359,                0.38465,                 1.2888,             0.00036905,             0.00036905,             0.00036905
                     21,                0.57533,                0.49775,                 1.2196,                0.95892,                      1,                  0.995,                0.85892,                0.61655,                0.36876,                 1.2088,             0.00033906,             0.00033906,             0.00033906
                     22,                0.56007,                0.41392,                 1.2009,                0.95056,                0.99907,                  0.995,                0.82325,                0.67482,                0.44414,                 1.2714,             0.00030906,             0.00030906,             0.00030906
                     23,                0.54508,                0.41355,                 1.1943,                0.93317,                0.99078,                  0.995,                0.83779,                0.65675,                0.40835,                 1.2485,             0.00027906,             0.00027906,             0.00027906
                     24,                0.52006,                0.35867,                 1.1831,                0.95943,                0.96429,                0.98786,                0.83165,                0.66858,                   0.42,                 1.2557,             0.00024907,             0.00024907,             0.00024907
                     25,                0.50385,                0.33136,                 1.1214,                0.93911,                 0.9729,                0.98786,                0.87899,                0.57783,                0.35355,                 1.1554,             0.00021907,             0.00021907,             0.00021907
                     26,                0.48991,                0.31382,                 1.1252,                0.94035,                0.96429,                 0.9831,                0.86448,                0.60993,                0.36864,                 1.1755,             0.00018907,             0.00018907,             0.00018907
                     27,                0.46219,                0.31129,                 1.1044,                0.94563,                0.96429,                 0.9831,                0.87618,                0.62855,                0.36579,                 1.1948,             0.00015907,             0.00015907,             0.00015907
                     28,                0.46461,                0.29772,                 1.1116,                0.96662,                0.96429,                0.98786,                0.89288,                0.54561,                0.32982,                 1.1067,             0.00012908,             0.00012908,             0.00012908
                     29,                 0.4422,                0.28846,                 1.0833,                0.97784,                      1,                  0.995,                0.90824,                0.52129,                0.28919,                 1.0768,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     30,                0.40636,                0.26423,                 1.0295,                0.98176,                      1,                  0.995,                0.90286,                  0.544,                0.28321,                 1.1007,             6.9084e-05,             6.9084e-05,             6.9084e-05
